"state","hate_groups","population","hate_groups_per_million","percent_bachelors_degree_or_higher","percent_in_poverty","percent_Trump_votes"
"Alabama",27,4863300,5.55,15.4,18.5,62.9
"Alaska",0,741894,0,29.7,10.4,52.9
"Arizona",18,6931071,2.6,27.7,17.4,49.5
"Arkansas",16,2988248,5.35,21.8,18.7,60.4
"California",79,39250017,2.01,32.3,15.4,32.7
"Colorado",16,5540545,2.89,39.2,11.5,44.4
"Connecticut",5,3576452,1.4,38.3,10.6,41.2
"Delaware",4,952065,4.2,30.9,12.6,41.9
"District of Columbia",21,681170,30.83,56.7,17.7,4.1
"Florida",63,20612439,3.06,28.4,15.8,49.1
"Georgia",32,10310371,3.1,29.9,17.2,51.3
"Hawaii",0,1428557,0,31.4,10.7,30
"Idaho",12,1683140,7.13,26,14.7,59.2
"Illinois",32,12801539,2.5,32.9,13.6,39.4
"Indiana",26,6633053,3.92,24.9,14.4,57.2
"Iowa",4,3134693,1.28,26.8,12.1,51.8
"Kansas",7,2907289,2.41,31.7,12.9,57.2
"Kentucky",23,4436974,5.18,23.3,18.3,62.5
"Louisiana",14,4681666,2.99,23.2,19.5,58.1
"Maine",3,1331479,2.25,30.1,13.2,45.2
"Maryland",18,6016447,2.99,38.8,9.9,35.3
"Massachusetts",12,6811779,1.76,41.5,11.5,33.5
"Michigan",28,9928300,2.82,27.8,15.7,47.6
"Minnesota",10,5519952,1.81,34.7,10.2,45.4
"Mississippi",18,2988726,6.02,20.8,22.1,58.3
"Missouri",24,6093000,3.94,27.8,14.8,57.1
"Montana",10,1042520,9.59,30.6,14.4,56.5
"Nebraska",5,1907116,2.62,30.2,12.2,60.3
"Nevada",4,2940058,1.36,23.6,14.9,45.5
"New Hampshire",6,1334795,4.5,35.7,8.4,47.2
"New Jersey",15,8944469,1.68,37.6,10.8,41.8
"New Mexico",2,2081015,0.96,26.5,19.8,40
"New York",47,19745289,2.38,35,15.5,37.5
"North Carolina",31,10146788,3.06,29.4,16.4,50.5
"North Dakota",1,757952,1.32,29.1,10.7,64.1
"Ohio",35,11614373,3.01,26.8,14.8,52.1
"Oklahoma",6,3923561,1.53,24.6,16,65.3
"Oregon",11,4093465,2.69,32.2,15.2,41.1
"Pennsylvania",40,12784227,3.13,29.7,13.1,48.8
"Rhode Island",1,1056426,0.95,32.7,14.1,39.8
"South Carolina",12,4961119,2.42,26.8,16.8,54.9
"South Dakota",7,865454,8.09,27.5,13.5,61.5
"Tennessee",38,6651194,5.71,25.7,16.7,61.1
"Texas",55,27862596,1.97,28.4,15.9,52.6
"Utah",3,3051217,0.98,31.8,11.2,45.9
"Vermont",1,624594,1.6,36.9,10.4,32.6
"Virginia",39,8411808,4.64,37,11.2,45
"Washington",21,7288000,2.88,34.2,12.2,38.2
"West Virginia",4,1831102,2.18,19.6,18,68.7
"Wisconsin",9,5778708,1.56,28.4,12.1,47.9
"Wyoming",2,585501,3.42,26.2,10.6,70.1
